"";"Format";"Themen";"Links";"Autor";"Laenge";"Datum"
"1";"Mittag";"Union und Grüne sondieren / Die Retter der Linken / Pandora Papers - Der Fall DEG / Facebook-Whistleblowerin packt aus / UNICEF - Jede/r siebte Jugendliche hat psychische Probleme";"https://www.sr-mediathek.de/index.php?seite=7&id=22581&pnr=&tbl=pf";"Karin Mayer";29M 56S;2021-10-05
"2";"Mittag";"Der Sondierungssonntag - wie liefen die Treffen? / Warum Jungwähler vor allem die FDP gewählt haben / Wenige Tage vor der Parlamentswahl in Tschechien - Babis im Offshore-Dickicht / Bekanntgabe Medizinnobelpreis";"https://www.sr-mediathek.de/index.php?seite=7&id=22565&pnr=&tbl=pf";"Peter Weitzmann";30M 2S;2021-10-04
"3";"Mittag";"Wer koaliert mit wem? Die Vor-Sondierungs-Gespräche gehen weiter / US-Haushaltsstreit - Belohnt werden die Spalter / Spannungen in Georgien - Saakaschwili und die Kommunalwahl / Zum ersten Mal in der Geschichte. Katar wählt Schura-Rat des Landes / Interview der Woche mit Lamya Kaddor, Isalmwissenschaftlerin zum ""Tag der offenen Moschee""";"https://www.sr-mediathek.de/index.php?seite=7&id=22553&pnr=&tbl=pf";"Peter Weitzmann";30M 1S;2021-10-02
"4";"Mittag";"ARD-Deutschlandtrend - Mehrheit für Scholz und Ampel / FDP und Grüne sondieren / Anhörung zum Abtreibungsgesetz in Texas / Brasilien - Wut auf Bayer wegen Verhütungsmittel Essure";"https://www.sr-mediathek.de/index.php?seite=7&id=22533&pnr=&tbl=pf";"Katrin Aue";30M 2S;2021-10-01
"5";"Mittag";"Sondieren vor Regieren - aktueller Stand / Unions-Debakel bei der Bundestagswahl - Söders Beitrag / Arbeitsmarkt - Regional / Myanmar - Der Bürgerkrieg ist längst da / 20 Jahre Fall Pascal";"https://www.sr-mediathek.de/index.php?seite=7&id=22514&pnr=&tbl=pf";"Isabelle Tentrup";29M 55S;2021-09-30
"6";"Mittag";"Grün-gelbe Gespräche haben begonnen / Monströses Verbrechen -  80. Jahrestag des Massakers von Babyn Jar / Nordkorea testet Hyperschallrakete";"https://www.sr-mediathek.de/index.php?seite=7&id=22498&pnr=&tbl=pf";"Îsabelle Tentrup";30M 8S;2021-09-29
"7";"Mittag";"Fraktionssitzungen der Parteien nach der Wahl / Pro und Kontra - Hat Laschet die Legitimation, eine Regierung zu bilden? / Prozess gegen TÜV-Süd hat begonnen / Peter Müller zu 70 Jahre Bundesverfassungsgericht";"https://www.sr-mediathek.de/index.php?seite=7&id=22483&pnr=&tbl=pf";"Yvonne Schleinhege";30M 21S;2021-09-28
"8";"Mittag";"Tag Eins nach der Wahl - Berliner Reaktionen / Ergebnisse und Stimmungen - im Gespräch mit Hauptstadtkorrespondent Markus Sambale / Wer geht nach Berlin? Eine landespolitische Einschätzung / Mecklenburg-Vorpommern nach der Wahl und vor der Sondierung";"https://www.sr-mediathek.de/index.php?seite=7&id=22469&pnr=&tbl=pf";"Peter Weitzmann";29M 29S;2021-09-27
"9";"Mittag";"Die Stimmung vor der Wahl - alles offen / ""Die Welt muss aufwachen""  - Bilanz der UN-Generaldebatte / Zu viert gegen China: ""Quad Gifpel"" im Weißen Haus und das Interview der Woche mit Andrea Römmele, Kommunikations- und Politikwissenschaftlerin";"https://www.sr-mediathek.de/index.php?seite=7&id=22458&pnr=&tbl=pf";"Lisa Krauser";29M 55S;2021-09-25
"10";"Mittag";"Wer kann und will mit wem? - Koalitionspoker vor der Wahl / USA -China-Konflikt - Machtspiel im Indopazifik. Dazu ein Gespräch mit Prof. Dirk Schmidt, Politikwissenschaftler und Chinaexperte Uni Trier";"https://www.sr-mediathek.de/index.php?seite=7&id=22440&pnr=&tbl=pf";"Lisa Krauser";30M 12S;2021-09-24
"11";"Mittag";"SVolt - Runder Tisch mit Bürgerinitiativen / Wasserstoffkongress - Das Saarland auf dem Weg zum Wasserstoffland / Idar-Oberstein - AfD die geistigen Brandstifter?";"https://www.sr-mediathek.de/index.php?seite=7&id=22415&pnr=&tbl=pf";"Katrin Aue";30M 6S;2021-09-23
"12";"Mittag";"Armin Laschet macht Wahlkampf in St. Wendel / Weitere Debatte über den Mord in Idar-Oberstein / Aghanistan - alles vergebens? / Kommentar - Biden bei UN-Generaldebatte / Kritik am DFKI";"https://www.sr-mediathek.de/index.php?seite=7&id=22405&pnr=&tbl=pf";"Florian Mayer";29M 55S;2021-09-22
"13";"Mittag";"Ende der Maskenpflicht im Unterricht / DGB-Rentenaktion in SB / Wahlsieg von Trudeau in Kanada / Proteste gegen Wahlergebnis in Russland / Abgeschoben nach Haiti - zurück in die Krise";"https://www.sr-mediathek.de/index.php?seite=7&id=22392&pnr=&tbl=pf";"Katrin Aue";29M 56S;2021-09-21
"14";"Mittag";"Endspurt im Wahlkampf - Koalitionsoptionen / Scholz im Finanzausschuss / Russland-Wahl: Kreml liegt klar vorn / nach U-Boot-Deal: Australien erklärt sich / Vulkanausbruch auf La Palma";"https://www.sr-mediathek.de/index.php?seite=7&id=22376&pnr=&tbl=pf";"Peter Weitzmann";29M 59S;2021-09-20
"15";"Mittag";" Mali: Baerbock und Laschet äußern Zweifel / U-Boot-Krise zwischen Frankreich, den USA und Australien / Die Wahl der Unentschlossenen.";"https://www.sr-mediathek.de/index.php?seite=7&id=22358&pnr=&tbl=pf";"Peter Weitzmann";29M 54S;2021-09-18
"16";"Mittag";"Wehrbeauftragte fordert Ende Mali-Einsatz/Geplanter Anschlag auf Synagoge Hagen/Kanada: Trudeau will Neuwahl/Wie schaut China auf die BTW";"https://www.sr-mediathek.de/index.php?seite=7&id=22341&pnr=&tbl=pf";"Lisa Krauser";30M 7S;2021-09-17
"17";"Mittag";"Deutsche Bahn und Lokführergewerkschaft GDL einigen sich im Tarifkonflikt/Haseloff zunächst durchgefallen: Ministerpräsidentenwahl in Sachsen-Anhalt/Streit um Mali-Einsatz der Bundeswehr.";"https://www.sr-mediathek.de/index.php?seite=7&id=22325&pnr=&tbl=pf";"Lisa Krauser";29M 53S;2021-09-16
"18";"Mittag";"Inspiration 4 - erster touristischer Flug in die Umlaufbahn startet/Reintegration? - Hunderte Ex-Kämpfer von Boko Haram geben auf/Historischer Durchbruch? - Ein Jahr nach der Unterzeichnung der <U+0084>Abraham<U+0093>-Abkommen.";"https://www.sr-mediathek.de/index.php?seite=7&id=22309&pnr=&tbl=pf";"Isabelle Tentrupp";30M 6S;2021-09-15
"19";"Mittag";"Vierkampf zeigt Unterschiede und lässt Koalitionen offen / Syriens Präsident Assad überraschend zu Besuch bei Putin / Regierungswechsel in Norwegen / Report Mainz. In Fällen sexualisierter Gewalt im Netz fast jeder zweite Tatverdächtige minderjährig / Vor dem FORD-Aktionstag: Lage der Beschäftigten / Interview der Woche mit Armin Laschet";"https://www.sr-mediathek.de/index.php?seite=7&id=22295&pnr=&tbl=pf";"Florian Mayer";29M 52S;2021-09-14
"20";"Mittag";"TV-Triell Baerbock, Laschet, Scholz / Impfaktionswoche gestartet - Karlizcek & Co. werben für den Piks / Verfassungsbeschwerde Klimaschutzgesetz Saarland / Afghanistan-Geberkonferenz der Vereinten Nationen / Waldbrand in Südspanien immer noch außer Kontroll / Norwegen wählt - Regierungswechsel wahrscheinlich";"https://www.sr-mediathek.de/index.php?seite=7&id=22278&pnr=&tbl=pf";"Karin Mayer";29M 49S;2021-09-13
"21";"Mittag";"CSU-Parteitag/""Einheit ist unsere Stärke""Videobotschaft von US-Präsident Biden zum 20. Jahrestag von 9/11/Afghanistan - katastrophale humanitäre Lage löst Flüchtlingsströme aus.";"https://www.sr-mediathek.de/index.php?seite=7&id=22264&pnr=&tbl=pf";"Florian Mayer";29M 49S;2021-09-11
"22";"Mittag";"Kein Geld für Ungeimpfte in Quarantäne? / Dänemark hebt alle Corona-Restriktionen auf / Lukaschenko und Putin einigen sich auf Gesamtpaket für engere Zusammenarbeit / Bernd Greiner, Historiker, zu 20 Jahre 9/11.";"https://www.sr-mediathek.de/index.php?seite=7&id=22248&pnr=&tbl=pf";"Folrian Mayer";30M 3S;2021-09-10
"23";"Mittag";"Montgomery fordert schärfere Corona-Maßnahmen / Luca-App im Saarland / Tag des alkoholgeschädigten Kindes / China kündigt Millionen-Hilfe für Taliban an /  Nordmazedonien - Mindestens 14 Tote bei Brand in Covid-Krankenhaus";"https://www.sr-mediathek.de/index.php?seite=7&id=22220&pnr=&tbl=pf";"Isabelle Tentrup";30M 19S;2021-09-09
"24";"Mittag";"Prozessauftakt Bataclan / ""Keine Geisel-Lage"" - US-Regierung verhandelt über Ausreise von Amerikanern / PK Spahn und Wieler zur Impfkampagne / BTW21 - Wahlkreisporträts Saarlouis - Maas gegen Altmaier";"https://www.sr-mediathek.de/index.php?seite=7&id=22205&pnr=&tbl=pf";"Isabelle Tentrup";30M 19S;2021-09-08
